LABEL	state_id	item_index	lexical_identity	target_phonology	S0_freear_predicted_phonology	divergence_step	diag_prefix_correction_label	diag_prefix_correction_corrected_predicted_phonology	diag_prefix_correction_corrected_exact	diag_prefix_correction_corrected_second_divergence_step	diag_prefix_correction_corrected_terminated_by_cap
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28498	scabbard	S K AE B ER D	S K AE N D AH L D	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE B AH L	0	4	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28499	scad	S K AE D	S K AE D AH L AY T	4	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE D	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28500	scaffold	S K AE F AH L D	S K EY L B AW N D	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE F AH L D	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28502	scala	S K AA L AH	AH G AO R IY	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AA N AH	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28504	scalar	S K EY L ER	L EY Z IH NG	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S OW L IY AH N T	0	1	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28505	scald	S K AO L D	S K IH M L AH S	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AO L IY	0	4	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28507	scalia	S K AA L IY AH	K ER UW L IY AH N	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AO R T IY	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28508	scallion	S K AE L Y AH N	K AH T L AE N S	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE N IH N	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28509	scallop	S K AE L AH P	S AE L AH S	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE L AH P	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28510	scalp	S K AE L P	S K AE P	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE L P	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28512	scalper	S K AE L P ER	F AO R S EH K ER	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE L ER	0	4	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28513	scam	S K AE M	S K AE M P	4	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE M	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28514	scammed	S K AE M D	L IH T ER D	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE M D	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28515	scammer	S K AE M ER	S K AE M P	4	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE M ER	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28516	scamper	S K AE M P ER	S K AE N D ER	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE M P ER	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28517	scandal	S K AE N D AH L	S AE M B AE D	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE N D AH L	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28518	scandalize	S K AE N D AH L AY Z	G L AH S AH N AY	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AO R L AH T	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28519	scandalous	S K AE N D AH L AH S	L AH K R IH D	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AH L IY D AH L	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28520	scant	S K AE N T	S AH L V IH ZH AH N	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE N T	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28521	scantily	S K AE N T AH L IY	B AA R N AH T S	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AH V ER T IY	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28522	scanty	S K AE N T IY	S EH G IH T S	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE G IY AH N S	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28524	scapegoat	S K EY P G OW T	R IH D AH K T	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K EY L	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28525	scapula	S K AE P Y AH L AH	S AH B AE L Y AH N	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE P Y AH L AH	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28527	scarborough	S K AA R B ER OW	S K AA R K L AE N D	4	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AA R B ER AH N	0	6	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28528	scarce	S K EH R S	F IH K S T L IY	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K EH R S	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28529	scarcity	S K EH R S IH T IY	S K EH R S	5	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K EH R S IH T IY	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28531	scarecrow	S K AE R K R OW	G AA L F IH K	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE N D R AH	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28533	scarlet	S K AA R L AH T	S K AO R N IH NG	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AA R L AH N D	0	6	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28536	scarring	S K AA R IH NG	S K R IH P	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AA R IH NG	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28538	scat	S K AE T	S K AE N IY	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE T	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28539	scathing	S K EY DH IH NG	S IH R IH K IY	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K ER CH ER	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28540	scatology	S K AE T AO L AH JH IY	HH AA L AH S	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K IH N Y UH R	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28541	scatter	S K AE T ER	S K ER T	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE T ER	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28542	scattering	S K AE T ER IH NG	F L AA T W EY ZH IH NG	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S IH N T ER R IY	0	1	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28543	scattershot	S K AE T ER SH AA T	S K UW L IH SH	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE T ER SH AA T	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28544	scavenge	S K AE V AH N JH	S K R AE B	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE V AH N JH	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28545	scavenger	S K AE V AH N JH ER	F IH N OW V ER	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE V AH N JH ER	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28546	scenery	S IY N ER IY	S IY N AH T R IY	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S IY N ER IY	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28548	scented	S EH N T IH D	S EH N T AH D	4	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S EH N T IH D	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28549	schadenfreude	SH AE D IH N F R OY D	HH AA R D	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH AA D IH NG	0	1	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28550	scheduler	S K EH JH UH L ER	S K EH JH UH L	6	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K EH JH UH L ER	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28552	schemata	S K IH M AE T AH	S K AO R T IH Z AH M	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K IH M AE T AH	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28553	schematic	S K IH M AE T IH K	S K EY L AH T	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K IH M AE T IH K	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28554	schemer	S K IY M ER	S K OW M ER	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K IY M ER	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28557	schilling	SH IH L IH NG	S AH K IH R Z	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH IH L	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28558	schindler	SH IH N D L ER	SH AE M IH NG T AH N	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH IH P M AH N	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28559	schism	S K IH Z AH M	K R UW S T EY T	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K EY JH B AH L	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28560	schist	SH IH S T	SH IH T	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH IH S T	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28561	schlegel	SH L EY G AH L	SH R IH D IH NG	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH L EY D ER	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28562	schlesinger	SH L EH S IH N JH ER	JH AH K S EH L ER	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH ER L Z	0	1	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28563	schleswig	SH L EH S W IH G	L OW N S AH M	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH IH L R AH S T	0	1	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28564	schlitz	SH L IH T S	R IH JH B EH T	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH IH N T K AH N	0	1	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28565	schlock	SH L AA K	L UW SH M EY K ER	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH L AA K	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28567	schmaltz	SH M AA L T S	G L AH S T OW	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH L IH F T	0	1	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28569	schmooze	SH M UW Z	SH M IY L	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH M UW Z	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28571	schnabel	SH N AE B AH L	SH L IH NG K IH N	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH N IH K AH L	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28572	schnapps	SH N AE P S	CH IY V D	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH N AE P S K AA CH	0	5	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28573	schnauzer	SH N AW Z ER	SH AA D OW	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH N IY T OW	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28574	schneider	SH N AY D ER	G UH N D AH N	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH UH L B R AY D ER	0	1	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28575	schnitzler	SH N IH T S L ER	F L AE K S IH S T	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH AA K S G IH R	0	1	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28577	schoenberg	SH OW N B ER G	SH OW B IH N S T ER	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH OW N B ER G	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28578	scholarly	S K AA L ER L IY	S K AA L ER AH L	5	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AA L ER L IY	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28579	scholastic	S K AH L AE S T IH K	S K AH L R AH D	4	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AH L AE S T IH K	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28580	schonberg	SH AA N B ER G	L IY AY B AH N	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH IY N Z	0	1	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28581	schoolbook	S K UW L B UH K	R EH L IH NG	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K UW L B UH K	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28583	schoolchild	S K UW L CH AY L D	S K UW L Y AA R D	4	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K UW L CH AY L	0	7	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28585	schoolgirl	S K UW L G ER L	S K R IH M OW L IH N	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K UW L G ER L	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28586	schoolhouse	S K UW L HH AW S	S K UW L HH AO L	5	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K UW L HH AW S	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28588	schoolmaster	S K UW L M AE S T ER	P R UW S L AH S T ER	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K UW L M AH N	0	5	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28589	schoolmate	S K UW L M EY T	S K UW L M EY L	6	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K UW L M EY T	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28590	schoolroom	S K UW L R UW M	S K UW L D OW TH R OW D	4	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K UW L R OW B	0	5	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28591	schoolteacher	S K UW L T IY CH ER	S K UW T ER	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K UW L T AH P UH T	0	5	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28593	schoolyard	S K UW L Y AA R D	R UW F S T ER	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K R UW N AY T	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28594	schooner	S K UW N ER	S K UW N	4	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K UW N ER	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28595	schroeder	SH R OW D ER	SH R AA P	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH R OW D AA K	0	4	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28599	schumacher	SH UW M AA K ER	SH UW M AY K ER	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH UW M AA K	0	5	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28602	schuyler	S K AY L ER	K IH L S P ER S AH N	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K EY L S AH N	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28603	schuylkill	S K Y UW L K IH L	L EH TH AH N	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K Y UW L AH S	0	5	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28604	schwa	SH W AA	HH EH R AH F AY	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH AA R P AH N T AY N	0	1	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28605	schwartz	SH W AO R T S	K EH L IH N	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH EH L ER	0	1	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28606	schweitzer	SH W AY T S ER	CH UW ZH IY	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH W AY T ER	0	4	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28607	schweppes	SH W EH P S	SH W EY L	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH W EH L Z	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28609	schwinger	SH W IH NG ER	IY SH W EY	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH W IH NG ER	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28610	schwinn	SH W IH N	JH OW B	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH W IH L	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28614	scipio	S IH P IY OW	IH L IH S	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S IH P IH S	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28615	scissor	S IH Z ER	S IH V ER	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S IH Z ER	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28616	sclerosis	S K L ER OW S AH S	S K R OW L ER M AH	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K L ER AH S AY Z AH	0	4	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28618	scold	S K OW L D	S K AE D AH L	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K OW L D	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28619	scolding	S K OW L D IH NG	S K OW TH ER	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K OW L D IH NG	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28621	scone	S K OW N	S K R IY N	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K OW JH	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28622	scoot	S K UW T	JH UW G	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K UW T	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28624	scopes	S K OW P S	M AH DH ER Z	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K UW L	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28625	scorch	S K AO R CH	S K R AE B	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AO R CH	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28626	scorcher	S K AO R CH ER	S K AO R CH ER B R AE K	6	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AO R CH ER	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28627	scoreboard	S K AO R B AO R D	K AO R P AO R T IH NG	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AO R T AY T	0	4	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28628	scorecard	S K AO R K AA R D	S K AO R B AO R	4	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AO R K AA	0	6	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28629	scorekeeper	S K AO R K IY P ER	K AW N T ER M AY K ER	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K UW L ER	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W3_SRC	28631	scorer	S K AO R ER	S T R OW M	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K R IH M ER IH N	0	2	0
