item_index	word	batch_dec_width	rank	target_phonemes	length	zipf_approx	is_word	gate	effective_ventral_weight	effective_dorsal_weight	lexical_confidence	lexical_margin	lexical_density	canonical_full_exact	canonical_full_predicted	canonical_wm_exact	canonical_wm_predicted	canonical_ltm_exact	canonical_ltm_predicted	canonical_fixed05_exact	canonical_fixed05_predicted	freear_full_exact	freear_full_predicted	freear_wm_exact	freear_wm_predicted	freear_ltm_exact	freear_ltm_predicted	freear_fixed05_exact	freear_fixed05_predicted	competence_category	competence_category_freear
1055	wish	10	1056	W IH SH	3	0.000947	1	0.5730054378509521	0.5730054378509521	0.42699456214904785	0.8470618724822998	0.11411923170089722	2.6660361289978027	1	W IH SH	1	W IH SH	1	W IH SH	1	W IH SH	1	W IH SH	1	W IH SH	1	W IH SH	1	W IH SH	BOTH_CORRECT	BOTH_CORRECT
1056	inside	10	1057	IH N S AY D	5	0.000946	1	0.5599198341369629	0.5599198341369629	0.4400801658630371	0.8204183578491211	0.20158720016479492	2.473937749862671	1	IH N S AY D	1	IH N S AY D	1	IH N S AY D	1	IH N S AY D	1	IH N S AY D	1	IH N S AY D	1	IH N S AY D	1	IH N S AY D	BOTH_CORRECT	BOTH_CORRECT
1057	solution	10	1058	S AH L UW SH AH N	7	0.000945	1	0.5822620987892151	0.5822620987892151	0.4177379012107849	0.8660332560539246	0.14009666442871094	1.3421748876571655	1	S AH L UW SH AH N	1	S AH L UW SH AH N	1	S AH L UW SH AH N	1	S AH L UW SH AH N	1	S AH L UW SH AH N	1	S AH L UW SH AH N	1	S AH L UW SH AH N	1	S AH L UW SH AH N	BOTH_CORRECT	BOTH_CORRECT
1058	mature	10	1059	M AH CH UH R	5	0.000944	1	0.5596933364868164	0.5596933364868164	0.4403066635131836	0.8199587464332581	0.3019951581954956	1.040103554725647	1	M AH CH UH R	1	M AH CH UH R	1	M AH CH UH R	1	M AH CH UH R	1	M AH CH UH R	1	M AH CH UH R	1	M AH CH UH R	1	M AH CH UH R	BOTH_CORRECT	BOTH_CORRECT
1059	role	10	1060	R OW L	3	0.000943	1	0.5107709765434265	0.5107709765434265	0.4892290234565735	0.7215452790260315	0.133716881275177	7.961430549621582	1	R OW L	1	R OW L	1	R OW L	1	R OW L	1	R OW L	1	R OW L	1	R OW L	1	R OW L	BOTH_CORRECT	BOTH_CORRECT
1060	rather	10	1061	R AE DH ER	4	0.000943	1	0.5793942809104919	0.5793942809104919	0.42060571908950806	0.8601437211036682	0.12840139865875244	5.575941562652588	1	R AE DH ER	1	R AE DH ER	1	R AE DH ER	1	R AE DH ER	1	R AE DH ER	1	R AE DH ER	1	R AE DH ER	1	R AE DH ER	BOTH_CORRECT	BOTH_CORRECT
1061	weeks	10	1062	W IY K S	4	0.000942	1	0.5573649406433105	0.5573649406433105	0.44263505935668945	0.8152372241020203	0.048353612422943115	6.476339817047119	1	W IY K S	1	W IY K S	1	W IY K S	1	W IY K S	1	W IY K S	1	W IY K S	1	W IY K S	1	W IY K S	BOTH_CORRECT	BOTH_CORRECT
1062	addition	10	1063	AH D IH SH AH N	6	0.000941	1	0.5362906455993652	0.5362906455993652	0.46370935440063477	0.7727091908454895	0.07830631732940674	3.5304839611053467	1	AH D IH SH AH N	1	AH D IH SH AH N	1	AH D IH SH AH N	1	AH D IH SH AH N	1	AH D IH SH AH N	1	AH D IH SH AH N	1	AH D IH SH AH N	1	AH D IH SH AH N	BOTH_CORRECT	BOTH_CORRECT
1063	came	10	1064	K EY M	3	0.00094	1	0.5354430675506592	0.5354430675506592	0.4645569324493408	0.7710052132606506	0.045309364795684814	28.78878402709961	1	K EY M	1	K EY M	1	K EY M	1	K EY M	1	K EY M	1	K EY M	1	K EY M	1	K EY M	BOTH_CORRECT	BOTH_CORRECT
1064	supply	10	1065	S AH P L AY	5	0.000939	1	0.5697923898696899	0.5697923898696899	0.43020761013031006	0.8405020236968994	0.06724554300308228	2.1532466411590576	1	S AH P L AY	1	S AH P L AY	1	S AH P L AY	1	S AH P L AY	1	S AH P L AY	1	S AH P L AY	1	S AH P L AY	1	S AH P L AY	BOTH_CORRECT	BOTH_CORRECT
1065	nothing	10	1066	N AH TH IH NG	5	0.000938	1	0.5833320021629333	0.5833320021629333	0.41666799783706665	0.868233323097229	0.03162503242492676	20.027158737182617	1	N AH TH IH NG	1	N AH TH IH NG	1	N AH TH IH NG	1	N AH TH IH NG	1	N AH TH IH NG	1	N AH TH IH NG	1	N AH TH IH NG	1	N AH TH IH NG	BOTH_CORRECT	BOTH_CORRECT
1066	certain	10	1067	S ER T AH N	5	0.000937	1	0.5692387223243713	0.5692387223243713	0.43076127767562866	0.8393729329109192	0.12572884559631348	6.536142349243164	1	S ER T AH N	1	S ER T AH N	1	S ER T AH N	1	S ER T AH N	1	S ER T AH N	1	S ER T AH N	1	S ER T AH N	1	S ER T AH N	BOTH_CORRECT	BOTH_CORRECT
1067	running	10	1068	R AH N IH NG	5	0.000936	1	0.553399384021759	0.553399384021759	0.44660061597824097	0.8072076439857483	0.18460649251937866	1.9208500385284424	1	R AH N IH NG	1	R AH N IH NG	1	R AH N IH NG	1	R AH N IH NG	1	R AH N IH NG	1	R AH N IH NG	1	R AH N IH NG	1	R AH N IH NG	BOTH_CORRECT	BOTH_CORRECT
1068	lower	10	1069	L OW ER	3	0.000935	1	0.5536269545555115	0.5536269545555115	0.4463730454444885	0.8076679706573486	0.14972972869873047	2.0787453651428223	1	L OW ER	1	L OW ER	1	L OW ER	1	L OW ER	1	L OW ER	1	L OW ER	1	L OW ER	1	L OW ER	BOTH_CORRECT	BOTH_CORRECT
1069	necessary	10	1070	N EH S AH S EH R IY	8	0.000935	1	0.5810837149620056	0.5810837149620056	0.4189162850379944	0.8636118769645691	0.18508529663085938	2.9405763149261475	1	N EH S AH S EH R IY	1	N EH S AH S EH R IY	1	N EH S AH S EH R IY	1	N EH S AH S EH R IY	1	N EH S AH S EH R IY	1	N EH S AH S EH R IY	1	N EH S AH S EH R IY	1	N EH S AH S EH R IY	BOTH_CORRECT	BOTH_CORRECT
1070	union	10	1071	Y UW N Y AH N	6	0.000934	1	0.5554051995277405	0.5554051995277405	0.4445948004722595	0.8112672567367554	0.20347392559051514	1.3740715980529785	1	Y UW N Y AH N	1	Y UW N Y AH N	1	Y UW N Y AH N	1	Y UW N Y AH N	1	Y UW N Y AH N	1	Y UW N Y AH N	1	Y UW N Y AH N	1	Y UW N Y AH N	BOTH_CORRECT	BOTH_CORRECT
1071	jewelry	10	1072	JH UW AH L R IY	6	0.000933	1	0.5675107836723328	0.5675107836723328	0.43248921632766724	0.8358510732650757	0.22526073455810547	1.3498090505599976	1	JH UW AH L R IY	1	JH UW AH L R IY	1	JH UW AH L R IY	1	JH UW AH L R IY	1	JH UW AH L R IY	1	JH UW AH L R IY	1	JH UW AH L R IY	1	JH UW AH L R IY	BOTH_CORRECT	BOTH_CORRECT
1072	according	10	1073	AH K AO R D IH NG	7	0.000932	1	0.5534384846687317	0.5534384846687317	0.4465615153312683	0.8072867393493652	0.17823576927185059	2.7307357788085938	1	AH K AO R D IH NG	1	AH K AO R D IH NG	1	AH K AO R D IH NG	1	AH K AO R D IH NG	1	AH K AO R D IH NG	1	AH K AO R D IH NG	1	AH K AO R D IH NG	1	AH K AO R D IH NG	BOTH_CORRECT	BOTH_CORRECT
1073	dc	10	1074	D IY S IY	4	0.000931	1	0.5460379123687744	0.5460379123687744	0.4539620876312256	0.7923372983932495	0.30479711294174194	1.0287214517593384	1	D IY S IY	1	D IY S IY	1	D IY S IY	1	D IY S IY	1	D IY S IY	1	D IY S IY	1	D IY S IY	1	D IY S IY	BOTH_CORRECT	BOTH_CORRECT
1074	clothing	10	1075	K L OW DH IH NG	6	0.00093	1	0.5808489918708801	0.5808489918708801	0.4191510081291199	0.863129734992981	0.12200498580932617	1.8502373695373535	1	K L OW DH IH NG	1	K L OW DH IH NG	1	K L OW DH IH NG	1	K L OW DH IH NG	1	K L OW DH IH NG	1	K L OW DH IH NG	1	K L OW DH IH NG	1	K L OW DH IH NG	BOTH_CORRECT	BOTH_CORRECT
1075	mon	10	1076	M OW N	3	0.000929	1	0.4859243929386139	0.4859243929386139	0.5140756070613861	0.6718413233757019	0.27873554825782776	2.084923028945923	1	M OW N	1	M OW N	1	M OW N	1	M OW N	1	M OW N	1	M OW N	1	M OW N	1	M OW N	BOTH_CORRECT	BOTH_CORRECT
1076	com	10	1077	K AA M	3	0.000929	1	0.5210238695144653	0.5210238695144653	0.47897613048553467	0.7420724630355835	0.26579782366752625	1.3458184003829956	1	K AA M	1	K AA M	1	K AA M	1	K AA M	1	K AA M	1	K AA M	1	K AA M	1	K AA M	BOTH_CORRECT	BOTH_CORRECT
1077	particular	10	1078	P ER T IH K Y AH L ER	9	0.000928	1	0.5804725885391235	0.5804725885391235	0.41952741146087646	0.8623569011688232	0.1604366898536682	3.186608076095581	1	P ER T IH K Y AH L ER	1	P ER T IH K Y AH L ER	1	P ER T IH K Y AH L ER	1	P ER T IH K Y AH L ER	1	P ER T IH K Y AH L ER	1	P ER T IH K Y AH L ER	1	P ER T IH K Y AH L ER	1	P ER T IH K Y AH L ER	BOTH_CORRECT	BOTH_CORRECT
1078	fine	10	1079	F AY N	3	0.000927	1	0.5181611776351929	0.5181611776351929	0.48183882236480713	0.7363383173942566	0.28379568457603455	2.5207972526550293	1	F AY N	1	F AY N	1	F AY N	1	F AY N	1	F AY N	1	F AY N	1	F AY N	1	F AY N	BOTH_CORRECT	BOTH_CORRECT
1079	names	10	1080	N EY M Z	4	0.000926	1	0.5654595494270325	0.5654595494270325	0.43454045057296753	0.8316748142242432	0.12612521648406982	1.545844554901123	1	N EY M Z	1	N EY M Z	1	N EY M Z	1	N EY M Z	1	N EY M Z	1	N EY M Z	1	N EY M Z	1	N EY M Z	BOTH_CORRECT	BOTH_CORRECT
1080	robert	10	1081	R AA B ER T	5	0.000925	1	0.5515814423561096	0.5515814423561096	0.4484185576438904	0.8035312294960022	0.21962779760360718	1.9945861101150513	1	R AA B ER T	1	R AA B ER T	1	R AA B ER T	1	R AA B ER T	1	R AA B ER T	1	R AA B ER T	1	R AA B ER T	1	R AA B ER T	BOTH_CORRECT	BOTH_CORRECT
1081	homepage	10	1082	HH OW M P EY JH	6	0.000924	1	0.5524725317955017	0.5524725317955017	0.4475274682044983	0.8053328990936279	0.17644143104553223	1.449720859527588	1	HH OW M P EY JH	1	HH OW M P EY JH	1	HH OW M P EY JH	1	HH OW M P EY JH	1	HH OW M P EY JH	1	HH OW M P EY JH	1	HH OW M P EY JH	1	HH OW M P EY JH	BOTH_CORRECT	BOTH_CORRECT
1082	hour	10	1083	AW ER	2	0.000923	1	0.5373726487159729	0.5373726487159729	0.4626273512840271	0.7748849391937256	0.0583571195602417	29.802631378173828	1	AW ER	1	AW ER	1	AW ER	1	AW ER	1	AW ER	1	AW ER	1	AW ER	1	AW ER	BOTH_CORRECT	BOTH_CORRECT
1083	gas	10	1084	G AE S	3	0.000923	1	0.5362178087234497	0.5362178087234497	0.4637821912765503	0.7725626826286316	0.18744510412216187	1.9540743827819824	1	G AE S	1	G AE S	1	G AE S	1	G AE S	1	G AE S	1	G AE S	1	G AE S	1	G AE S	BOTH_CORRECT	BOTH_CORRECT
1084	skills	10	1085	S K IH L Z	5	0.000922	1	0.5597281455993652	0.5597281455993652	0.44027185440063477	0.8200294971466064	0.09615617990493774	2.372100591659546	1	S K IH L Z	1	S K IH L Z	1	S K IH L Z	1	S K IH L Z	1	S K IH L Z	1	S K IH L Z	1	S K IH L Z	1	S K IH L Z	BOTH_CORRECT	BOTH_CORRECT
1085	six	10	1086	S IH K S	4	0.000921	1	0.5693520903587341	0.5693520903587341	0.43064790964126587	0.8396040797233582	0.005548000335693359	10.040756225585938	1	S IH K S	1	S IH K S	1	S IH K S	1	S IH K S	1	S IH K S	1	S IH K S	1	S IH K S	1	S IH K S	BOTH_CORRECT	BOTH_CORRECT
1086	bush	10	1087	B UH SH	3	0.00092	1	0.5397286415100098	0.5397286415100098	0.46027135848999023	0.7796251773834229	0.09270477294921875	4.307170867919922	1	B UH SH	1	B UH SH	1	B UH SH	1	B UH SH	1	B UH SH	1	B UH SH	1	B UH SH	1	B UH SH	BOTH_CORRECT	BOTH_CORRECT
1087	islands	10	1088	AY L AH N D Z	6	0.000919	1	0.5806149840354919	0.5806149840354919	0.41938501596450806	0.8626492619514465	0.1168445348739624	1.5194569826126099	1	AY L AH N D Z	1	AY L AH N D Z	1	AY L AH N D Z	1	AY L AH N D Z	1	AY L AH N D Z	1	AY L AH N D Z	1	AY L AH N D Z	1	AY L AH N D Z	BOTH_CORRECT	BOTH_CORRECT
1088	advice	10	1089	AE D V AY S	5	0.000918	1	0.5533128380775452	0.5533128380775452	0.44668716192245483	0.807032585144043	0.2558487057685852	1.4182721376419067	1	AE D V AY S	1	AE D V AY S	1	AE D V AY S	1	AE D V AY S	1	AE D V AY S	1	AE D V AY S	1	AE D V AY S	1	AE D V AY S	BOTH_CORRECT	BOTH_CORRECT
1089	career	10	1090	K ER IH R	4	0.000917	1	0.5418691635131836	0.5418691635131836	0.4581308364868164	0.7839348912239075	0.17395943403244019	2.0433082580566406	1	K ER IH R	1	K ER IH R	1	K ER IH R	1	K ER IH R	1	K ER IH R	1	K ER IH R	1	K ER IH R	1	K ER IH R	BOTH_CORRECT	BOTH_CORRECT
1090	military	10	1091	M IH L AH T EH R IY	8	0.000917	1	0.5543696880340576	0.5543696880340576	0.4456303119659424	0.8091710209846497	0.10690456628799438	2.4361133575439453	1	M IH L AH T EH R IY	1	M IH L AH T EH R IY	1	M IH L AH T EH R IY	1	M IH L AH T EH R IY	1	M IH L AH T EH R IY	1	M IH L AH T EH R IY	1	M IH L AH T EH R IY	1	M IH L AH T EH R IY	BOTH_CORRECT	BOTH_CORRECT
1091	rental	10	1092	R EH N T AH L	6	0.000916	1	0.5884795784950256	0.5884795784950256	0.41152042150497437	0.878841757774353	0.14665287733078003	1.3228753805160522	1	R EH N T AH L	1	R EH N T AH L	1	R EH N T AH L	1	R EH N T AH L	1	R EH N T AH L	1	R EH N T AH L	1	R EH N T AH L	1	R EH N T AH L	BOTH_CORRECT	BOTH_CORRECT
1092	decision	10	1093	D IH S IH ZH AH N	7	0.000915	1	0.5728102326393127	0.5728102326393127	0.42718976736068726	0.8466629981994629	0.19092410802841187	2.1851987838745117	1	D IH S IH ZH AH N	1	D IH S IH ZH AH N	1	D IH S IH ZH AH N	1	D IH S IH ZH AH N	1	D IH S IH ZH AH N	1	D IH S IH ZH AH N	1	D IH S IH ZH AH N	1	D IH S IH ZH AH N	BOTH_CORRECT	BOTH_CORRECT
1093	leave	10	1094	L IY V	3	0.000914	1	0.570231020450592	0.570231020450592	0.42976897954940796	0.8413968682289124	0.1652534008026123	2.9465980529785156	1	L IY V	1	L IY V	1	L IY V	1	L IY V	1	L IY V	1	L IY V	1	L IY V	1	L IY V	BOTH_CORRECT	BOTH_CORRECT
1094	british	10	1095	B R IH T IH SH	6	0.000913	1	0.5630958080291748	0.5630958080291748	0.4369041919708252	0.8268678784370422	0.14146572351455688	1.4196327924728394	1	B R IH T IH SH	1	B R IH T IH SH	0	P R IH S T IH NG	1	B R IH T IH SH	1	B R IH T IH SH	1	B R IH T IH SH	0	P R IH S T IH NG	1	B R IH T IH SH	WM_ONLY_CORRECT	WM_ONLY_CORRECT
1095	teens	10	1096	T IY N Z	4	0.000912	1	0.5595841407775879	0.5595841407775879	0.4404158592224121	0.8197371363639832	0.11589372158050537	2.120826244354248	1	T IY N Z	1	T IY N Z	1	T IY N Z	1	T IY N Z	1	T IY N Z	1	T IY N Z	1	T IY N Z	1	T IY N Z	BOTH_CORRECT	BOTH_CORRECT
1096	pre	10	1097	P R IY	3	0.000912	1	0.4577529728412628	0.4577529728412628	0.5422470271587372	0.6153039932250977	0.020629405975341797	33.924034118652344	1	P R IY	1	P R IY	1	P R IY	1	P R IY	1	P R IY	1	P R IY	1	P R IY	1	P R IY	BOTH_CORRECT	BOTH_CORRECT
1097	huge	10	1098	HH Y UW JH	4	0.000911	1	0.5578200817108154	0.5578200817108154	0.44217991828918457	0.8161598443984985	0.10874903202056885	2.5814216136932373	1	HH Y UW JH	1	HH Y UW JH	1	HH Y UW JH	1	HH Y UW JH	1	HH Y UW JH	1	HH Y UW JH	1	HH Y UW JH	1	HH Y UW JH	BOTH_CORRECT	BOTH_CORRECT
1098	sat	10	1099	S AE T	3	0.00091	1	0.5369015336036682	0.5369015336036682	0.4630984663963318	0.7739375233650208	0.17550569772720337	1.5136295557022095	1	S AE T	1	S AE T	1	S AE T	1	S AE T	1	S AE T	1	S AE T	1	S AE T	1	S AE T	BOTH_CORRECT	BOTH_CORRECT
1099	woman	10	1100	W UH M AH N	5	0.000909	1	0.5924863815307617	0.5924863815307617	0.4075136184692383	0.8871266841888428	0.21106034517288208	1.2901384830474854	1	W UH M AH N	1	W UH M AH N	1	W UH M AH N	1	W UH M AH N	1	W UH M AH N	1	W UH M AH N	1	W UH M AH N	1	W UH M AH N	BOTH_CORRECT	BOTH_CORRECT
1100	facilities	10	1101	F AH S IH L AH T IY Z	9	0.000908	1	0.5760003924369812	0.5760003924369812	0.4239996075630188	0.8531879186630249	0.15671581029891968	1.489678144454956	1	F AH S IH L AH T IY Z	1	F AH S IH L AH T IY Z	1	F AH S IH L AH T IY Z	1	F AH S IH L AH T IY Z	1	F AH S IH L AH T IY Z	1	F AH S IH L AH T IY Z	1	F AH S IH L AH T IY Z	1	F AH S IH L AH T IY Z	BOTH_CORRECT	BOTH_CORRECT
1101	zip	10	1102	Z IH P	3	0.000907	1	0.515919029712677	0.515919029712677	0.484080970287323	0.7318487763404846	0.29116949439048767	1.6394612789154053	1	Z IH P	1	Z IH P	1	Z IH P	1	Z IH P	1	Z IH P	1	Z IH P	1	Z IH P	1	Z IH P	BOTH_CORRECT	BOTH_CORRECT
1102	bid	10	1103	B IH D	3	0.000907	1	0.5156472325325012	0.5156472325325012	0.4843527674674988	0.7313046455383301	0.12286168336868286	4.505626201629639	1	B IH D	1	B IH D	1	B IH D	1	B IH D	1	B IH D	1	B IH D	1	B IH D	1	B IH D	BOTH_CORRECT	BOTH_CORRECT
1103	kind	10	1104	K AY N D	4	0.000906	1	0.5699360966682434	0.5699360966682434	0.4300639033317566	0.8407952785491943	0.06919229030609131	8.598033905029297	1	K AY N D	1	K AY N D	1	K AY N D	1	K AY N D	1	K AY N D	1	K AY N D	1	K AY N D	1	K AY N D	BOTH_CORRECT	BOTH_CORRECT
1104	sellers	10	1105	S EH L ER Z	5	0.000905	1	0.5556690096855164	0.5556690096855164	0.44433099031448364	0.8118014931678772	0.1926053762435913	1.3201204538345337	1	S EH L ER Z	1	S EH L ER Z	1	S EH L ER Z	1	S EH L ER Z	1	S EH L ER Z	1	S EH L ER Z	1	S EH L ER Z	1	S EH L ER Z	BOTH_CORRECT	BOTH_CORRECT
1105	middle	10	1106	M IH D AH L	5	0.000904	1	0.5314352512359619	0.5314352512359619	0.4685647487640381	0.762953519821167	0.24515199661254883	1.902030110359192	1	M IH D AH L	1	M IH D AH L	1	M IH D AH L	1	M IH D AH L	1	M IH D AH L	1	M IH D AH L	1	M IH D AH L	1	M IH D AH L	BOTH_CORRECT	BOTH_CORRECT
1106	move	10	1107	M UW V	3	0.000903	1	0.5402291417121887	0.5402291417121887	0.4597708582878113	0.7806326150894165	0.08535271883010864	13.139286994934082	1	M UW V	1	M UW V	1	M UW V	1	M UW V	1	M UW V	1	M UW V	1	M UW V	1	M UW V	BOTH_CORRECT	BOTH_CORRECT
1107	cable	10	1108	K EY B AH L	5	0.000903	1	0.5466268062591553	0.5466268062591553	0.4533731937408447	0.7935252785682678	0.2122786045074463	1.5371203422546387	1	K EY B AH L	1	K EY B AH L	1	K EY B AH L	1	K EY B AH L	1	K EY B AH L	1	K EY B AH L	1	K EY B AH L	1	K EY B AH L	BOTH_CORRECT	BOTH_CORRECT
1108	taking	10	1109	T EY K IH NG	5	0.000902	1	0.5760337710380554	0.5760337710380554	0.4239662289619446	0.8532562851905823	0.18372368812561035	2.5168871879577637	1	T EY K IH NG	1	T EY K IH NG	1	T EY K IH NG	1	T EY K IH NG	1	T EY K IH NG	1	T EY K IH NG	1	T EY K IH NG	1	T EY K IH NG	BOTH_CORRECT	BOTH_CORRECT
1109	values	10	1110	V AE L Y UW Z	6	0.000901	1	0.5676678419113159	0.5676678419113159	0.4323321580886841	0.8361711502075195	0.16041111946105957	1.4448684453964233	1	V AE L Y UW Z	1	V AE L Y UW Z	1	V AE L Y UW Z	1	V AE L Y UW Z	1	V AE L Y UW Z	1	V AE L Y UW Z	1	V AE L Y UW Z	1	V AE L Y UW Z	BOTH_CORRECT	BOTH_CORRECT
1110	division	10	1111	D IH V IH ZH AH N	7	0.0009	1	0.5537708401679993	0.5537708401679993	0.44622915983200073	0.8079590797424316	0.14192241430282593	1.492026925086975	1	D IH V IH ZH AH N	1	D IH V IH ZH AH N	1	D IH V IH ZH AH N	1	D IH V IH ZH AH N	1	D IH V IH ZH AH N	1	D IH V IH ZH AH N	1	D IH V IH ZH AH N	1	D IH V IH ZH AH N	BOTH_CORRECT	BOTH_CORRECT
1111	coming	10	1112	K AH M IH NG	5	0.000899	1	0.557768702507019	0.557768702507019	0.44223129749298096	0.8160557150840759	0.07162594795227051	14.966423034667969	1	K AH M IH NG	1	K AH M IH NG	1	K AH M IH NG	1	K AH M IH NG	1	K AH M IH NG	1	K AH M IH NG	1	K AH M IH NG	1	K AH M IH NG	BOTH_CORRECT	BOTH_CORRECT
1112	tuesday	10	1113	T UW Z D IY	5	0.000898	1	0.5554225444793701	0.5554225444793701	0.4445774555206299	0.8113024234771729	0.0029494166374206543	10.190584182739258	1	T UW Z D IY	1	T UW Z D IY	1	T UW Z D IY	1	T UW Z D IY	1	T UW Z D IY	1	T UW Z D IY	1	T UW Z D IY	1	T UW Z D IY	BOTH_CORRECT	BOTH_CORRECT
1113	object	10	1114	AA B JH EH K T	6	0.000898	1	0.5635706186294556	0.5635706186294556	0.43642938137054443	0.8278330564498901	0.07566338777542114	1.8002941608428955	1	AA B JH EH K T	1	AA B JH EH K T	1	AA B JH EH K T	1	AA B JH EH K T	1	AA B JH EH K T	1	AA B JH EH K T	1	AA B JH EH K T	1	AA B JH EH K T	BOTH_CORRECT	BOTH_CORRECT
1114	lesbian	10	1115	L EH Z B IY AH N	7	0.000897	1	0.5669422745704651	0.5669422745704651	0.4330577254295349	0.8346931338310242	0.1160162091255188	1.9759316444396973	1	L EH Z B IY AH N	1	L EH Z B IY AH N	1	L EH Z B IY AH N	1	L EH Z B IY AH N	1	L EH Z B IY AH N	1	L EH Z B IY AH N	1	L EH Z B IY AH N	1	L EH Z B IY AH N	BOTH_CORRECT	BOTH_CORRECT
1115	appropriate	10	1116	AH P R OW P R IY AH T	9	0.000896	1	0.5739266872406006	0.5739266872406006	0.4260733127593994	0.848945140838623	0.22270506620407104	2.004150390625	1	AH P R OW P R IY AH T	1	AH P R OW P R IY AH T	1	AH P R OW P R IY AH T	1	AH P R OW P R IY AH T	1	AH P R OW P R IY AH T	1	AH P R OW P R IY AH T	1	AH P R OW P R IY AH T	1	AH P R OW P R IY AH T	BOTH_CORRECT	BOTH_CORRECT
1116	machine	10	1117	M AH SH IY N	5	0.000895	1	0.5615851283073425	0.5615851283073425	0.43841487169265747	0.8237988352775574	0.14710867404937744	1.4054068326950073	1	M AH SH IY N	1	M AH SH IY N	1	M AH SH IY N	1	M AH SH IY N	1	M AH SH IY N	1	M AH SH IY N	1	M AH SH IY N	1	M AH SH IY N	BOTH_CORRECT	BOTH_CORRECT
1117	logo	10	1118	L OW G OW	4	0.000894	1	0.5646327137947083	0.5646327137947083	0.43536728620529175	0.8299927115440369	0.1735871434211731	1.2554363012313843	1	L OW G OW	1	L OW G OW	1	L OW G OW	1	L OW G OW	1	L OW G OW	1	L OW G OW	1	L OW G OW	1	L OW G OW	BOTH_CORRECT	BOTH_CORRECT
1118	length	10	1119	L EH NG K TH	5	0.000894	1	0.5723901391029358	0.5723901391029358	0.4276098608970642	0.8458048105239868	0.26452964544296265	1.1910269260406494	1	L EH NG K TH	1	L EH NG K TH	1	L EH NG K TH	1	L EH NG K TH	1	L EH NG K TH	1	L EH NG K TH	1	L EH NG K TH	1	L EH NG K TH	BOTH_CORRECT	BOTH_CORRECT
1119	actually	10	1120	AE K CH UW AH L IY	7	0.000893	1	0.5661988854408264	0.5661988854408264	0.4338011145591736	0.8331795930862427	0.1259009838104248	17.339977264404297	1	AE K CH UW AH L IY	1	AE K CH UW AH L IY	1	AE K CH UW AH L IY	1	AE K CH UW AH L IY	1	AE K CH UW AH L IY	1	AE K CH UW AH L IY	1	AE K CH UW AH L IY	1	AE K CH UW AH L IY	BOTH_CORRECT	BOTH_CORRECT
1120	nice	10	1121	N AY S	3	0.000892	1	0.5445001125335693	0.5445001125335693	0.45549988746643066	0.7892363667488098	0.23497116565704346	1.657963752746582	1	N AY S	1	N AY S	1	N AY S	1	N AY S	1	N AY S	1	N AY S	1	N AY S	1	N AY S	BOTH_CORRECT	BOTH_CORRECT
1121	score	10	1122	S K AO R	4	0.000891	1	0.5374888181686401	0.5374888181686401	0.46251118183135986	0.7751185297966003	0.013640344142913818	4.869650840759277	1	S K AO R	1	S K AO R	1	S K AO R	1	S K AO R	1	S K AO R	1	S K AO R	1	S K AO R	1	S K AO R	BOTH_CORRECT	BOTH_CORRECT
1122	client	10	1123	K L AY AH N T	6	0.00089	1	0.557339608669281	0.557339608669281	0.442660391330719	0.8151860237121582	0.1650511622428894	1.3012661933898926	1	K L AY AH N T	1	K L AY AH N T	1	K L AY AH N T	1	K L AY AH N T	1	K L AY AH N T	1	K L AY AH N T	1	K L AY AH N T	1	K L AY AH N T	BOTH_CORRECT	BOTH_CORRECT
1123	ok	10	1124	OW K EY	3	0.00089	1	0.5486577749252319	0.5486577749252319	0.45134222507476807	0.7976245880126953	0.12521255016326904	4.121191024780273	1	OW K EY	1	OW K EY	1	OW K EY	1	OW K EY	1	OW K EY	1	OW K EY	1	OW K EY	1	OW K EY	BOTH_CORRECT	BOTH_CORRECT
1124	returns	10	1125	R IH T ER N Z	6	0.000889	1	0.5651862025260925	0.5651862025260925	0.43481379747390747	0.8311187028884888	0.20282310247421265	1.144841194152832	1	R IH T ER N Z	1	R IH T ER N Z	0	R IH F ER Z	1	R IH T ER N Z	1	R IH T ER N Z	1	R IH T ER N Z	0	R IH F ER Z	1	R IH T ER N Z	WM_ONLY_CORRECT	WM_ONLY_CORRECT
1125	capital	10	1126	K AE P AH T AH L	7	0.000888	1	0.5317069292068481	0.5317069292068481	0.46829307079315186	0.7634990215301514	0.34488773345947266	1.2961091995239258	1	K AE P AH T AH L	1	K AE P AH T AH L	1	K AE P AH T AH L	1	K AE P AH T AH L	1	K AE P AH T AH L	1	K AE P AH T AH L	1	K AE P AH T AH L	1	K AE P AH T AH L	BOTH_CORRECT	BOTH_CORRECT
1126	follow	10	1127	F AA L OW	4	0.000887	1	0.5329959392547607	0.5329959392547607	0.46700406074523926	0.7660879492759705	0.15341907739639282	3.7151718139648438	1	F AA L OW	1	F AA L OW	1	F AA L OW	1	F AA L OW	1	F AA L OW	1	F AA L OW	1	F AA L OW	1	F AA L OW	BOTH_CORRECT	BOTH_CORRECT
1127	sample	10	1128	S AE M P AH L	6	0.000887	1	0.5446783900260925	0.5446783900260925	0.45532160997390747	0.7895957827568054	0.10292571783065796	1.9522122144699097	1	S AE M P AH L	1	S AE M P AH L	0	M AE CH	1	S AE M P AH L	1	S AE M P AH L	1	S AE M P AH L	0	M AE CH	1	S AE M P AH L	WM_ONLY_CORRECT	WM_ONLY_CORRECT
