item_index	word	rank	target_phonemes	length	zipf_approx	is_word	gate	effective_ventral_weight	effective_dorsal_weight	lexical_confidence	lexical_margin	lexical_density	canonical_full_exact	canonical_full_predicted	canonical_wm_exact	canonical_wm_predicted	canonical_ltm_exact	canonical_ltm_predicted	canonical_fixed05_exact	canonical_fixed05_predicted	freear_full_exact	freear_full_predicted	freear_wm_exact	freear_wm_predicted	freear_ltm_exact	freear_ltm_predicted	freear_fixed05_exact	freear_fixed05_predicted	competence_category	competence_category_freear
87	services	88	S ER V AH S AH Z	7	0.011364	1	0.5887571573257446	0.5887571573257446	0.41124284267425537	0.879414975643158	0.15467321872711182	1.3863264322280884	1	S ER V AH S AH Z	1	S ER V AH S AH Z	1	S ER V AH S AH Z	1	S ER V AH S AH Z	1	S ER V AH S AH Z	1	S ER V AH S AH Z	1	S ER V AH S AH Z	1	S ER V AH S AH Z	BOTH_CORRECT	BOTH_CORRECT
88	some	89	S AH M	3	0.011236	1	0.5759053826332092	0.5759053826332092	0.42409461736679077	0.8529933094978333	0.06334191560745239	15.814787864685059	1	S AH M	1	S AH M	1	S AH M	1	S AH M	1	S AH M	1	S AH M	1	S AH M	1	S AH M	BOTH_CORRECT	BOTH_CORRECT
89	these	90	DH IY Z	3	0.011111	1	0.6028521060943604	0.6028521060943604	0.39714789390563965	0.9086815714836121	0.11063987016677856	3.9374380111694336	1	DH IY Z	1	DH IY Z	1	DH IY Z	1	DH IY Z	1	DH IY Z	1	DH IY Z	1	DH IY Z	1	DH IY Z	BOTH_CORRECT	BOTH_CORRECT
90	click	91	K L IH K	4	0.010989	1	0.5759541988372803	0.5759541988372803	0.4240458011627197	0.8530932664871216	0.19675058126449585	1.258079171180725	1	K L IH K	1	K L IH K	1	K L IH K	1	K L IH K	1	K L IH K	1	K L IH K	1	K L IH K	1	K L IH K	BOTH_CORRECT	BOTH_CORRECT
91	its	92	IH T S	3	0.01087	1	0.549340009689331	0.549340009689331	0.45065999031066895	0.7990022301673889	0.14498138427734375	6.611876010894775	1	IH T S	1	IH T S	1	IH T S	1	IH T S	1	IH T S	1	IH T S	1	IH T S	1	IH T S	BOTH_CORRECT	BOTH_CORRECT
92	like	93	L AY K	3	0.010753	1	0.567794144153595	0.567794144153595	0.43220585584640503	0.8364284038543701	0.10644328594207764	14.868514060974121	1	L AY K	1	L AY K	1	L AY K	1	L AY K	1	L AY K	1	L AY K	1	L AY K	1	L AY K	BOTH_CORRECT	BOTH_CORRECT
93	service	94	S ER V AH S	5	0.010638	1	0.5807609558105469	0.5807609558105469	0.4192390441894531	0.8629489541053772	0.13069593906402588	1.4066404104232788	1	S ER V AH S	1	S ER V AH S	1	S ER V AH S	1	S ER V AH S	1	S ER V AH S	1	S ER V AH S	1	S ER V AH S	1	S ER V AH S	BOTH_CORRECT	BOTH_CORRECT
94	x	95	EH K S	3	0.010526	1	0.5224945545196533	0.5224945545196533	0.4775054454803467	0.7450194358825684	0.16194266080856323	2.0973589420318604	1	EH K S	1	EH K S	1	EH K S	1	EH K S	1	EH K S	1	EH K S	1	EH K S	1	EH K S	BOTH_CORRECT	BOTH_CORRECT
95	than	96	DH AE N	3	0.010417	1	0.5568476319313049	0.5568476319313049	0.44315236806869507	0.8141890168190002	0.03142249584197998	23.105194091796875	1	DH AE N	1	DH AE N	1	DH AE N	1	DH AE N	1	DH AE N	1	DH AE N	1	DH AE N	1	DH AE N	BOTH_CORRECT	BOTH_CORRECT
96	find	97	F AY N D	4	0.010309	1	0.5839119553565979	0.5839119553565979	0.4160880446434021	0.8694266676902771	0.16624200344085693	3.2723097801208496	1	F AY N D	1	F AY N D	1	F AY N D	1	F AY N D	1	F AY N D	1	F AY N D	1	F AY N D	1	F AY N D	BOTH_CORRECT	BOTH_CORRECT
97	price	98	P R AY S	4	0.010204	1	0.5750980377197266	0.5750980377197266	0.42490196228027344	0.8513410687446594	0.08318138122558594	2.393906354904175	1	P R AY S	1	P R AY S	1	P R AY S	1	P R AY S	1	P R AY S	1	P R AY S	1	P R AY S	1	P R AY S	BOTH_CORRECT	BOTH_CORRECT
98	date	99	D EY T	3	0.010101	1	0.5631965398788452	0.5631965398788452	0.4368034601211548	0.8270726203918457	0.07034367322921753	2.150541305541992	1	D EY T	1	D EY T	1	D EY T	1	D EY T	1	D EY T	1	D EY T	1	D EY T	1	D EY T	BOTH_CORRECT	BOTH_CORRECT
99	back	100	B AE K	3	0.01	1	0.5535107254981995	0.5535107254981995	0.44648927450180054	0.8074328303337097	0.10007405281066895	14.391490936279297	1	B AE K	1	B AE K	1	B AE K	1	B AE K	1	B AE K	1	B AE K	1	B AE K	1	B AE K	BOTH_CORRECT	BOTH_CORRECT
100	top	101	T AA P	3	0.009901	1	0.5623388886451721	0.5623388886451721	0.4376611113548279	0.8253298401832581	0.28811579942703247	1.2859846353530884	1	T AA P	1	T AA P	1	T AA P	1	T AA P	1	T AA P	1	T AA P	1	T AA P	1	T AA P	BOTH_CORRECT	BOTH_CORRECT
101	people	102	P IY P AH L	5	0.009804	1	0.5604840517044067	0.5604840517044067	0.43951594829559326	0.8215633630752563	0.19575244188308716	5.778377056121826	1	P IY P AH L	1	P IY P AH L	1	P IY P AH L	1	P IY P AH L	1	P IY P AH L	1	P IY P AH L	1	P IY P AH L	1	P IY P AH L	BOTH_CORRECT	BOTH_CORRECT
102	had	103	HH AE D	3	0.009709	1	0.5614259839057922	0.5614259839057922	0.43857401609420776	0.8234756588935852	0.12385755777359009	7.426532745361328	1	HH AE D	1	HH AE D	1	HH AE D	1	HH AE D	1	HH AE D	1	HH AE D	1	HH AE D	1	HH AE D	BOTH_CORRECT	BOTH_CORRECT
103	list	104	L IH S T	4	0.009615	1	0.5812224745750427	0.5812224745750427	0.4187775254249573	0.863896906375885	0.14793747663497925	1.3975147008895874	1	L IH S T	1	L IH S T	1	L IH S T	1	L IH S T	1	L IH S T	1	L IH S T	1	L IH S T	1	L IH S T	BOTH_CORRECT	BOTH_CORRECT
104	name	105	N EY M	3	0.009524	1	0.5841694474220276	0.5841694474220276	0.4158305525779724	0.8699566125869751	0.15584057569503784	1.57012939453125	1	N EY M	1	N EY M	1	N EY M	1	N EY M	1	N EY M	1	N EY M	1	N EY M	1	N EY M	BOTH_CORRECT	BOTH_CORRECT
105	just	106	JH AH S T	4	0.009434	1	0.5803164839744568	0.5803164839744568	0.4196835160255432	0.8620362877845764	0.12337815761566162	8.40876579284668	1	JH AH S T	1	JH AH S T	1	JH AH S T	1	JH AH S T	1	JH AH S T	1	JH AH S T	1	JH AH S T	1	JH AH S T	BOTH_CORRECT	BOTH_CORRECT
106	over	107	OW V ER	3	0.009346	1	0.5322597026824951	0.5322597026824951	0.4677402973175049	0.764609158039093	0.1017460823059082	15.37906265258789	1	OW V ER	1	OW V ER	1	OW V ER	1	OW V ER	1	OW V ER	1	OW V ER	1	OW V ER	1	OW V ER	BOTH_CORRECT	BOTH_CORRECT
107	state	108	S T EY T	4	0.009259	1	0.5335982441902161	0.5335982441902161	0.46640175580978394	0.7672978043556213	0.24961572885513306	2.7940967082977295	1	S T EY T	1	S T EY T	1	S T EY T	1	S T EY T	1	S T EY T	1	S T EY T	1	S T EY T	1	S T EY T	BOTH_CORRECT	BOTH_CORRECT
108	year	109	Y IH R	3	0.009174	1	0.5884481072425842	0.5884481072425842	0.41155189275741577	0.8787768483161926	0.12835168838500977	4.465335369110107	1	Y IH R	1	Y IH R	1	Y IH R	1	Y IH R	1	Y IH R	1	Y IH R	1	Y IH R	1	Y IH R	BOTH_CORRECT	BOTH_CORRECT
109	day	110	D EY	2	0.009091	1	0.5523126125335693	0.5523126125335693	0.44768738746643066	0.8050094842910767	0.10150796175003052	9.438150405883789	1	D EY	1	D EY	1	D EY	1	D EY	1	D EY	1	D EY	1	D EY	1	D EY	BOTH_CORRECT	BOTH_CORRECT
110	into	111	IH N T UW	4	0.009009	1	0.5462477803230286	0.5462477803230286	0.45375221967697144	0.7927606701850891	0.19538283348083496	4.2354207038879395	1	IH N T UW	1	IH N T UW	1	IH N T UW	1	IH N T UW	1	IH N T UW	1	IH N T UW	1	IH N T UW	1	IH N T UW	BOTH_CORRECT	BOTH_CORRECT
111	email	112	IY M EY L	4	0.008929	1	0.5623283982276917	0.5623283982276917	0.43767160177230835	0.8253085017204285	0.1720603108406067	1.7053619623184204	1	IY M EY L	1	IY M EY L	1	IY M EY L	1	IY M EY L	1	IY M EY L	1	IY M EY L	1	IY M EY L	1	IY M EY L	BOTH_CORRECT	BOTH_CORRECT
112	two	113	T UW	2	0.00885	1	0.5627900958061218	0.5627900958061218	0.4372099041938782	0.8262466788291931	0.02250617742538452	37.51708984375	1	T UW	1	T UW	1	T UW	1	T UW	1	T UW	1	T UW	1	T UW	1	T UW	BOTH_CORRECT	BOTH_CORRECT
113	health	114	HH EH L TH	4	0.008772	1	0.5753013491630554	0.5753013491630554	0.4246986508369446	0.8517569899559021	0.12389206886291504	2.0315046310424805	1	HH EH L TH	1	HH EH L TH	1	HH EH L TH	1	HH EH L TH	1	HH EH L TH	1	HH EH L TH	1	HH EH L TH	1	HH EH L TH	BOTH_CORRECT	BOTH_CORRECT
114	n	115	EH N	2	0.008696	1	0.5255880951881409	0.5255880951881409	0.47441190481185913	0.7512208819389343	0.15594816207885742	2.4344069957733154	1	EH N	1	EH N	1	EH N	1	EH N	1	EH N	1	EH N	1	EH N	1	EH N	BOTH_CORRECT	BOTH_CORRECT
115	world	116	W ER L D	4	0.008621	1	0.5847830176353455	0.5847830176353455	0.41521698236465454	0.8712197542190552	0.24150729179382324	1.2550820112228394	1	W ER L D	1	W ER L D	1	W ER L D	1	W ER L D	1	W ER L D	1	W ER L D	1	W ER L D	1	W ER L D	BOTH_CORRECT	BOTH_CORRECT
116	re	117	R EY	2	0.008547	1	0.5346263647079468	0.5346263647079468	0.4653736352920532	0.7693637013435364	0.27972960472106934	1.7598389387130737	1	R EY	1	R EY	1	R EY	1	R EY	1	R EY	1	R EY	1	R EY	1	R EY	BOTH_CORRECT	BOTH_CORRECT
117	next	118	N EH K S T	5	0.008475	1	0.577228844165802	0.577228844165802	0.422771155834198	0.8557038307189941	0.201859712600708	3.1320958137512207	1	N EH K S T	1	N EH K S T	1	N EH K S T	1	N EH K S T	1	N EH K S T	1	N EH K S T	1	N EH K S T	1	N EH K S T	BOTH_CORRECT	BOTH_CORRECT
118	used	119	Y UW Z D	4	0.008403	1	0.579252302646637	0.579252302646637	0.42074769735336304	0.8598523736000061	0.0683603286743164	3.3625316619873047	1	Y UW Z D	1	Y UW Z D	1	Y UW Z D	1	Y UW Z D	1	Y UW Z D	1	Y UW Z D	1	Y UW Z D	1	Y UW Z D	BOTH_CORRECT	BOTH_CORRECT
119	go	120	G OW	2	0.008333	1	0.5666604042053223	0.5666604042053223	0.43333959579467773	0.8341192603111267	0.03855794668197632	18.824594497680664	1	G OW	1	G OW	1	G OW	1	G OW	1	G OW	1	G OW	1	G OW	1	G OW	BOTH_CORRECT	BOTH_CORRECT
120	b	121	B IY	2	0.008264	1	0.535882830619812	0.535882830619812	0.464117169380188	0.7718892693519592	0.017862319946289062	54.22001266479492	1	B IY	1	B IY	1	B IY	1	B IY	1	B IY	1	B IY	1	B IY	1	B IY	BOTH_CORRECT	BOTH_CORRECT
121	work	122	W ER K	3	0.008197	1	0.5838782787322998	0.5838782787322998	0.4161217212677002	0.8693572878837585	0.11709016561508179	2.687077045440674	1	W ER K	1	W ER K	1	W ER K	1	W ER K	1	W ER K	1	W ER K	1	W ER K	1	W ER K	BOTH_CORRECT	BOTH_CORRECT
122	last	123	L AE S T	4	0.00813	1	0.5696539282798767	0.5696539282798767	0.4303460717201233	0.8402196168899536	0.11362433433532715	9.565864562988281	1	L AE S T	1	L AE S T	1	L AE S T	1	L AE S T	1	L AE S T	1	L AE S T	1	L AE S T	1	L AE S T	BOTH_CORRECT	BOTH_CORRECT
123	most	124	M OW S T	4	0.008065	1	0.5796810388565063	0.5796810388565063	0.42031896114349365	0.8607320189476013	0.14936470985412598	5.657121658325195	1	M OW S T	1	M OW S T	1	M OW S T	1	M OW S T	1	M OW S T	1	M OW S T	1	M OW S T	1	M OW S T	BOTH_CORRECT	BOTH_CORRECT
124	products	125	P R AA D AH K T S	8	0.008	1	0.5883362889289856	0.5883362889289856	0.4116637110710144	0.8785459399223328	0.11706113815307617	1.7243202924728394	1	P R AA D AH K T S	1	P R AA D AH K T S	1	P R AA D AH K T S	1	P R AA D AH K T S	1	P R AA D AH K T S	1	P R AA D AH K T S	1	P R AA D AH K T S	1	P R AA D AH K T S	BOTH_CORRECT	BOTH_CORRECT
125	music	126	M Y UW Z IH K	6	0.007937	1	0.591698408126831	0.591698408126831	0.40830159187316895	0.8854955434799194	0.19686168432235718	1.6794800758361816	1	M Y UW Z IH K	1	M Y UW Z IH K	1	M Y UW Z IH K	1	M Y UW Z IH K	1	M Y UW Z IH K	1	M Y UW Z IH K	1	M Y UW Z IH K	1	M Y UW Z IH K	BOTH_CORRECT	BOTH_CORRECT
126	buy	127	B AY	2	0.007874	1	0.4662700295448303	0.4662700295448303	0.5337299704551697	0.6324374675750732	0.013273119926452637	165.59701538085938	1	B AY	1	B AY	1	B AY	1	B AY	1	B AY	1	B AY	1	B AY	1	B AY	BOTH_CORRECT	BOTH_CORRECT
127	data	128	D EY T AH	4	0.007812	1	0.556736409664154	0.556736409664154	0.44326359033584595	0.8139635920524597	0.19524389505386353	1.9814951419830322	1	D EY T AH	1	D EY T AH	1	D EY T AH	1	D EY T AH	1	D EY T AH	1	D EY T AH	1	D EY T AH	1	D EY T AH	BOTH_CORRECT	BOTH_CORRECT
128	make	129	M EY K	3	0.007752	1	0.5828009247779846	0.5828009247779846	0.4171990752220154	0.8671410083770752	0.15378624200820923	9.618500709533691	1	M EY K	1	M EY K	1	M EY K	1	M EY K	1	M EY K	1	M EY K	1	M EY K	1	M EY K	BOTH_CORRECT	BOTH_CORRECT
129	them	130	DH EH M	3	0.007692	1	0.5857094526290894	0.5857094526290894	0.41429054737091064	0.8731281757354736	0.07678401470184326	10.61031723022461	1	DH EH M	1	DH EH M	1	DH EH M	1	DH EH M	1	DH EH M	1	DH EH M	1	DH EH M	1	DH EH M	BOTH_CORRECT	BOTH_CORRECT
130	should	131	SH UH D	3	0.007634	1	0.5954698920249939	0.5954698920249939	0.4045301079750061	0.8933123350143433	0.09784185886383057	9.25012493133545	1	SH UH D	1	SH UH D	1	SH UH D	1	SH UH D	1	SH UH D	1	SH UH D	1	SH UH D	1	SH UH D	BOTH_CORRECT	BOTH_CORRECT
131	product	132	P R AA D AH K T	7	0.007576	1	0.5798727869987488	0.5798727869987488	0.4201272130012512	0.861125648021698	0.12155210971832275	1.695693016052246	1	P R AA D AH K T	1	P R AA D AH K T	1	P R AA D AH K T	1	P R AA D AH K T	1	P R AA D AH K T	1	P R AA D AH K T	1	P R AA D AH K T	1	P R AA D AH K T	BOTH_CORRECT	BOTH_CORRECT
132	system	133	S IH S T AH M	6	0.007519	1	0.5814542770385742	0.5814542770385742	0.4185457229614258	0.8643730282783508	0.06262266635894775	1.8752250671386719	1	S IH S T AH M	1	S IH S T AH M	1	S IH S T AH M	1	S IH S T AH M	1	S IH S T AH M	1	S IH S T AH M	1	S IH S T AH M	1	S IH S T AH M	BOTH_CORRECT	BOTH_CORRECT
133	post	134	P OW S T	4	0.007463	1	0.5384659171104431	0.5384659171104431	0.4615340828895569	0.7770841717720032	0.26893001794815063	1.7880282402038574	1	P OW S T	1	P OW S T	1	P OW S T	1	P OW S T	1	P OW S T	1	P OW S T	1	P OW S T	1	P OW S T	BOTH_CORRECT	BOTH_CORRECT
134	her	135	HH ER	2	0.007407	1	0.5567372441291809	0.5567372441291809	0.4432627558708191	0.8139652609825134	0.08267802000045776	7.450610637664795	1	HH ER	1	HH ER	1	HH ER	1	HH ER	1	HH ER	1	HH ER	1	HH ER	1	HH ER	BOTH_CORRECT	BOTH_CORRECT
135	city	136	S IH T IY	4	0.007353	1	0.5788589119911194	0.5788589119911194	0.4211410880088806	0.8590453863143921	0.194074809551239	1.261220097541809	1	S IH T IY	1	S IH T IY	1	S IH T IY	1	S IH T IY	1	S IH T IY	1	S IH T IY	1	S IH T IY	1	S IH T IY	BOTH_CORRECT	BOTH_CORRECT
136	t	137	T IY	2	0.007299	1	0.535885214805603	0.535885214805603	0.464114785194397	0.7718940377235413	0.2368842363357544	1.6703290939331055	1	T IY	1	T IY	1	T IY	1	T IY	1	T IY	1	T IY	1	T IY	1	T IY	BOTH_CORRECT	BOTH_CORRECT
137	add	138	AE D	2	0.007246	1	0.5358315110206604	0.5358315110206604	0.4641684889793396	0.7717860341072083	0.22227907180786133	3.371187210083008	1	AE D	1	AE D	1	AE D	1	AE D	1	AE D	1	AE D	1	AE D	1	AE D	BOTH_CORRECT	BOTH_CORRECT
138	policy	139	P AA L AH S IY	6	0.007194	1	0.5826104879379272	0.5826104879379272	0.41738951206207275	0.8667495846748352	0.10211271047592163	1.8984135389328003	1	P AA L AH S IY	1	P AA L AH S IY	1	P AA L AH S IY	1	P AA L AH S IY	1	P AA L AH S IY	1	P AA L AH S IY	1	P AA L AH S IY	1	P AA L AH S IY	BOTH_CORRECT	BOTH_CORRECT
139	number	140	N AH M B ER	5	0.007143	1	0.5698730945587158	0.5698730945587158	0.4301269054412842	0.8406667113304138	0.17385077476501465	3.8792765140533447	1	N AH M B ER	1	N AH M B ER	1	N AH M B ER	1	N AH M B ER	1	N AH M B ER	1	N AH M B ER	1	N AH M B ER	1	N AH M B ER	BOTH_CORRECT	BOTH_CORRECT
140	such	141	S AH CH	3	0.007092	1	0.5623440146446228	0.5623440146446228	0.4376559853553772	0.8253403306007385	0.10466307401657104	17.553783416748047	1	S AH CH	1	S AH CH	1	S AH CH	1	S AH CH	1	S AH CH	1	S AH CH	1	S AH CH	1	S AH CH	BOTH_CORRECT	BOTH_CORRECT
141	please	142	P L IY Z	4	0.007042	1	0.5512057542800903	0.5512057542800903	0.44879424571990967	0.802771806716919	0.1596202254295349	2.3128912448883057	1	P L IY Z	1	P L IY Z	1	P L IY Z	1	P L IY Z	1	P L IY Z	1	P L IY Z	1	P L IY Z	1	P L IY Z	BOTH_CORRECT	BOTH_CORRECT
142	available	143	AH V EY L AH B AH L	8	0.006993	1	0.5808270573616028	0.5808270573616028	0.4191729426383972	0.8630846738815308	0.2931972146034241	1.4651317596435547	1	AH V EY L AH B AH L	1	AH V EY L AH B AH L	1	AH V EY L AH B AH L	1	AH V EY L AH B AH L	1	AH V EY L AH B AH L	1	AH V EY L AH B AH L	1	AH V EY L AH B AH L	1	AH V EY L AH B AH L	BOTH_CORRECT	BOTH_CORRECT
143	copyright	144	K AA P IY R AY T	7	0.006944	1	0.5578428506851196	0.5578428506851196	0.44215714931488037	0.8162060379981995	0.17725372314453125	1.2951610088348389	1	K AA P IY R AY T	1	K AA P IY R AY T	1	K AA P IY R AY T	1	K AA P IY R AY T	1	K AA P IY R AY T	1	K AA P IY R AY T	1	K AA P IY R AY T	1	K AA P IY R AY T	BOTH_CORRECT	BOTH_CORRECT
144	support	145	S AH P AO R T	6	0.006897	1	0.5932812690734863	0.5932812690734863	0.40671873092651367	0.8887733221054077	0.19826263189315796	1.4497156143188477	1	S AH P AO R T	1	S AH P AO R T	1	S AH P AO R T	1	S AH P AO R T	1	S AH P AO R T	1	S AH P AO R T	1	S AH P AO R T	1	S AH P AO R T	BOTH_CORRECT	BOTH_CORRECT
145	message	146	M EH S AH JH	5	0.006849	1	0.5899675488471985	0.5899675488471985	0.4100324511528015	0.8819156289100647	0.13117825984954834	1.518193006515503	1	M EH S AH JH	1	M EH S AH JH	1	M EH S AH JH	1	M EH S AH JH	1	M EH S AH JH	1	M EH S AH JH	1	M EH S AH JH	1	M EH S AH JH	BOTH_CORRECT	BOTH_CORRECT
146	after	147	AE F T ER	4	0.006803	1	0.5614508390426636	0.5614508390426636	0.4385491609573364	0.8235262036323547	0.08577919006347656	11.752713203430176	1	AE F T ER	1	AE F T ER	1	AE F T ER	1	AE F T ER	1	AE F T ER	1	AE F T ER	1	AE F T ER	1	AE F T ER	BOTH_CORRECT	BOTH_CORRECT
147	best	148	B EH S T	4	0.006757	1	0.5615472793579102	0.5615472793579102	0.43845272064208984	0.8237219452857971	0.17814898490905762	3.0295209884643555	1	B EH S T	1	B EH S T	1	B EH S T	1	B EH S T	1	B EH S T	1	B EH S T	1	B EH S T	1	B EH S T	BOTH_CORRECT	BOTH_CORRECT
148	software	149	S AO F T W EH R	7	0.006711	1	0.5976586937904358	0.5976586937904358	0.4023413062095642	0.8978594541549683	0.22431474924087524	1.4565924406051636	1	S AO F T W EH R	1	S AO F T W EH R	1	S AO F T W EH R	1	S AO F T W EH R	1	S AO F T W EH R	1	S AO F T W EH R	1	S AO F T W EH R	1	S AO F T W EH R	BOTH_CORRECT	BOTH_CORRECT
149	then	150	DH EH N	3	0.006667	1	0.5634945631027222	0.5634945631027222	0.43650543689727783	0.8276784420013428	0.08492296934127808	12.484357833862305	1	DH EH N	1	DH EH N	1	DH EH N	1	DH EH N	1	DH EH N	1	DH EH N	1	DH EH N	1	DH EH N	BOTH_CORRECT	BOTH_CORRECT
150	jan	151	JH AE N	3	0.006623	1	0.5136392116546631	0.5136392116546631	0.4863607883453369	0.7272852063179016	0.3211952745914459	1.7235805988311768	1	JH AE N	1	JH AE N	1	JH AE N	1	JH AE N	1	JH AE N	1	JH AE N	1	JH AE N	1	JH AE N	BOTH_CORRECT	BOTH_CORRECT
151	good	152	G UH D	3	0.006579	1	0.5865495204925537	0.5865495204925537	0.4134504795074463	0.8748596906661987	0.12135523557662964	6.336239814758301	1	G UH D	1	G UH D	1	G UH D	1	G UH D	1	G UH D	1	G UH D	1	G UH D	1	G UH D	BOTH_CORRECT	BOTH_CORRECT
152	video	153	V IH D IY OW	5	0.006536	1	0.593542754650116	0.593542754650116	0.40645724534988403	0.8893152475357056	0.13003230094909668	1.7542691230773926	1	V IH D IY OW	1	V IH D IY OW	1	V IH D IY OW	1	V IH D IY OW	1	V IH D IY OW	1	V IH D IY OW	1	V IH D IY OW	1	V IH D IY OW	BOTH_CORRECT	BOTH_CORRECT
153	well	154	W EH L	3	0.006494	1	0.5647251605987549	0.5647251605987549	0.4352748394012451	0.8301807641983032	0.07636815309524536	32.44350051879883	1	W EH L	1	W EH L	1	W EH L	1	W EH L	1	W EH L	1	W EH L	1	W EH L	1	W EH L	BOTH_CORRECT	BOTH_CORRECT
154	d	155	D IY	2	0.006452	1	0.5021899342536926	0.5021899342536926	0.4978100657463074	0.7043798565864563	0.14477401971817017	3.700108766555786	1	D IY	1	D IY	1	D IY	1	D IY	1	D IY	1	D IY	1	D IY	1	D IY	BOTH_CORRECT	BOTH_CORRECT
155	where	156	W EH R	3	0.00641	1	0.5638560652732849	0.5638560652732849	0.4361439347267151	0.8284133672714233	0.1803584098815918	6.2646918296813965	1	W EH R	1	W EH R	1	W EH R	1	W EH R	1	W EH R	1	W EH R	1	W EH R	1	W EH R	BOTH_CORRECT	BOTH_CORRECT
156	info	157	IH N F OW	4	0.006369	1	0.5372399091720581	0.5372399091720581	0.4627600908279419	0.7746180295944214	0.35289639234542847	1.1252862215042114	1	IH N F OW	1	IH N F OW	1	IH N F OW	1	IH N F OW	1	IH N F OW	1	IH N F OW	1	IH N F OW	1	IH N F OW	BOTH_CORRECT	BOTH_CORRECT
157	rights	158	R AY T S	4	0.006329	1	0.5632572174072266	0.5632572174072266	0.43674278259277344	0.8271960020065308	0.2797880172729492	1.5130237340927124	1	R AY T S	1	R AY T S	1	R AY T S	1	R AY T S	1	R AY T S	1	R AY T S	1	R AY T S	1	R AY T S	BOTH_CORRECT	BOTH_CORRECT
158	public	159	P AH B L IH K	6	0.006289	1	0.5474857687950134	0.5474857687950134	0.4525142312049866	0.7952587008476257	0.23297834396362305	2.7862048149108887	1	P AH B L IH K	1	P AH B L IH K	1	P AH B L IH K	1	P AH B L IH K	1	P AH B L IH K	1	P AH B L IH K	1	P AH B L IH K	1	P AH B L IH K	BOTH_CORRECT	BOTH_CORRECT
159	books	160	B UH K S	4	0.00625	1	0.5879944562911987	0.5879944562911987	0.41200554370880127	0.8778403997421265	0.10487830638885498	1.8002357482910156	1	B UH K S	1	B UH K S	1	B UH K S	1	B UH K S	1	B UH K S	1	B UH K S	1	B UH K S	1	B UH K S	BOTH_CORRECT	BOTH_CORRECT
160	high	161	HH AY	2	0.006211	1	0.5517593026161194	0.5517593026161194	0.4482406973838806	0.8038907647132874	0.19754159450531006	1.7538776397705078	1	HH AY	1	HH AY	1	HH AY	1	HH AY	1	HH AY	1	HH AY	1	HH AY	1	HH AY	BOTH_CORRECT	BOTH_CORRECT
161	school	162	S K UW L	4	0.006173	1	0.5806891322135925	0.5806891322135925	0.41931086778640747	0.8628014922142029	0.14313912391662598	2.684436321258545	1	S K UW L	1	S K UW L	1	S K UW L	1	S K UW L	1	S K UW L	1	S K UW L	1	S K UW L	1	S K UW L	BOTH_CORRECT	BOTH_CORRECT
162	through	163	TH R UW	3	0.006135	1	0.5664082765579224	0.5664082765579224	0.43359172344207764	0.8336058855056763	0.19870996475219727	1.742802381515503	1	TH R UW	1	TH R UW	1	TH R UW	1	TH R UW	1	TH R UW	1	TH R UW	1	TH R UW	1	TH R UW	BOTH_CORRECT	BOTH_CORRECT
163	m	164	EH M	2	0.006098	1	0.49770283699035645	0.49770283699035645	0.5022971630096436	0.6954055428504944	0.19201093912124634	2.764031171798706	1	EH M	1	EH M	1	EH M	1	EH M	1	EH M	1	EH M	1	EH M	1	EH M	BOTH_CORRECT	BOTH_CORRECT
164	each	165	IY CH	2	0.006061	1	0.5572003126144409	0.5572003126144409	0.4427996873855591	0.8149036765098572	0.21359151601791382	2.8709523677825928	1	IY CH	1	IY CH	1	IY CH	1	IY CH	1	IY CH	1	IY CH	1	IY CH	1	IY CH	BOTH_CORRECT	BOTH_CORRECT
165	links	166	L IH NG K S	5	0.006024	1	0.5733665823936462	0.5733665823936462	0.42663341760635376	0.8478000164031982	0.125244140625	1.793973684310913	1	L IH NG K S	1	L IH NG K S	1	L IH NG K S	1	L IH NG K S	1	L IH NG K S	1	L IH NG K S	1	L IH NG K S	1	L IH NG K S	BOTH_CORRECT	BOTH_CORRECT
166	she	167	SH IY	2	0.005988	1	0.5458901524543762	0.5458901524543762	0.4541098475456238	0.7920393347740173	0.046075284481048584	9.152730941772461	1	SH IY	1	SH IY	1	SH IY	1	SH IY	1	SH IY	1	SH IY	1	SH IY	1	SH IY	BOTH_CORRECT	BOTH_CORRECT
167	review	168	R IY V Y UW	5	0.005952	1	0.5835890173912048	0.5835890173912048	0.41641098260879517	0.868762195110321	0.15225106477737427	1.5288124084472656	1	R IY V Y UW	1	R IY V Y UW	1	R IY V Y UW	1	R IY V Y UW	1	R IY V Y UW	1	R IY V Y UW	1	R IY V Y UW	1	R IY V Y UW	BOTH_CORRECT	BOTH_CORRECT
168	years	169	Y IH R Z	4	0.005917	1	0.5780645608901978	0.5780645608901978	0.42193543910980225	0.857416570186615	0.09422916173934937	5.229317665100098	1	Y IH R Z	1	Y IH R Z	1	Y IH R Z	1	Y IH R Z	1	Y IH R Z	1	Y IH R Z	1	Y IH R Z	1	Y IH R Z	BOTH_CORRECT	BOTH_CORRECT
169	order	170	AO R D ER	4	0.005882	1	0.5610751509666443	0.5610751509666443	0.4389248490333557	0.8227633833885193	0.1574205756187439	2.7413594722747803	1	AO R D ER	1	AO R D ER	1	AO R D ER	1	AO R D ER	1	AO R D ER	1	AO R D ER	1	AO R D ER	1	AO R D ER	BOTH_CORRECT	BOTH_CORRECT
